,Global Entity\,Logistics Area,Source,SF Status Raw, Vendor name,Vendor Grade,City,Address,Latitude,Longitude,Phone,Main Cuisine,Lead ID,Accuracy,Status ,Handler email,GRID,global_entity_id,lead_id,lead_source,restaurant_name,restaurant_area,restaurant_address,restaurant_post_code,restaurant_lat,restaurant_long,restaurant_city,haversine_distance
23,HS_SA,logistics,keeta,No Match,Kunafa Ether,,Riyadh,"7991-8000 Al Khalifah Al Maamoun, Badr, Riyadh 14724, Saudi Arabia",24.5465,46.7073,,"Dessert, Pastries, Coffee, Beverages",469696,Invalid lead (Add reason),Already exist,Bandar Alshathri,HWSJHO,HS_SA,HWSJHO,salesforce,Kunafa Atheer,Badr,شارع الخليفه المأمون,,24.546395228238392,46.70744132579498,Riyadh,0.018440635442529517
24,HS_SA,sales,keeta,No Match,Luqma Kunafa,,Riyadh,"Al Zoubair Ibn Al Awwam, Al Rawabi, Riyadh 14215, Saudi Arabia",24.6879,46.7787,,"Dessert, Pastries",583738,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HR8AX1,HS_SA,HR8AX1,salesforce,Lqimh Kunafa : Al Rawabi,Al Rawabi,1,14215,24.6877367,46.7783467,Riyadh,0.04004755784416404
25,HS_SA,sales,keeta,No Match,Mandi Riyof Al Kharj Restaurant,,Al-Kharj,"37VG+63W, Mishrif, Al-Kharj 16249",24.1103,47.2822,,"Arabic, Saudi, Local Flavors, Mandi",597298,Invalid lead (Add reason),Already exist,Bandar Alshathri,4CX2A7,HS_SA,4CX2A7,salesforce,Restaurants wamatabikh mandi alkharaj :  Mishrif,Mishrif,2978، الخرج 16249، المملكة العربية السعودية,16249,24.1076524,47.2631185,Al Kharj,1.9589331348867267
26,HS_SA,logistics,keeta,No Match,Mazaq Al-Tawagen,,Riyadh,"مطعم ومشويات مذاق الطواجن المصرى، 3821 منفوحة الشارع العام, Riyadh",24.6178,46.7237,,"Fast Food, Fried Chicken",469844,Invalid lead (Add reason),Duplicate,Mohammad Nasreddin,,,,,,,,,,,,
27,HS_SA,sales,keeta,No Match,Mirzas Fast Food,,Riyadh,"Bakery Masjid, Al Wizarat, Dahran Al Janoob Road 3285 Opp, Riyadh 12626",24.6687,46.7124,,"International, Indian, Meat",610428,Invalid lead (Add reason),Already exist,Bandar Alshathri,HWUF53,HS_SA,HWUF53,salesforce,ميرزا ​​للوجبات السريعة,Al Wizarat,123243,,24.6980777,46.7908037,Riyadh,8.568629395667195
28,HS_SA,logistics,keeta,No Match,our  spicy falafel,,Riyadh,"HQRG+894، العزيزية،, Riyadh",24.5908,46.7759,,"Italian, Pizza",584018,Invalid lead (Add reason),Already exist,Mohamed Zeidan ,HWV6OH,HS_SA,HWV6OH,salesforce,Falafel Hartna,Al Azizyah,العزيزيه - الرياض,,24.5907601,46.7759464,Riyadh,0.006457110010499029
29,HS_SA,logistics,keeta,No Match,Plant,,Riyadh,"MQGC+RG Al Safa, Riyadh",24.6771,46.7713,,"Dessert, Arabic Sweets, Gathering",584234,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4CJE79,HS_SA,4CJE79,salesforce,Plant,Al Azizyah,"24.59398880902422, 46.75716457230584",,24.5940405,46.7570723,Riyadh,9.347078977768986
30,HS_SA,logistics,keeta,No Match,Qimma Al-Siriya,,Riyadh,"2916 Hamad Ibn Laaboun، 6922-6887, Riyadh 12665",24.6194,46.7263,,"Fast Food, Sandwich, Fine Dining, Meat",584217,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HREK1A,HS_SA,HREK1A,salesforce,Qimh alsiyria: Oud,Oud,"24.619434106358817, 46.72625529046849",46.60898613929906,24.6193674,46.72626039999999,Riyadh,0.005400425544490467
31,HS_SA,sales,keeta,No Match,Sallah Shai,,Riyadh,"MPQ7+VCC حي, Abu Bakr Alrazi St, As Sulimaniyah, Riyadh 12231, Saudi Arabia",24.6897,46.7135,,"Beverages, Tea",590672,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,HADY57,HS_SA,HADY57,salesforce,Salleh Shai,Munsiyah,1,,24.8252775,46.7513896,Riyadh,15.553426554184748
32,HS_SA,logistics,keeta,No Match,Sea Shells,,Riyadh,"Ash Shifa, Riyadh 14713, Saudi Arabia",24.5636,46.7053,,"Seafood/Grill, Seafood",456548,Invalid lead (Add reason),Already exist,Mohammad Nasreddin,4FB7NC,HS_SA,4FB7NC,salesforce,Sea Shell,Aqiq,Wadi As Sahil,13515,24.7755545,46.6299646,Riyadh,24.767133930913133
